Store,SUM of Sales,SUM of Customers,AVERAGE of Sales,AVERAGE of Customers,,,DayOfWeek,AVERAGE of Sales,AVERAGE of Customers,,,,,,,
956,20837,2686,3472.83,447.67,,,,,,,,,,,,
957,32736,3308,6547.20,661.60,,,,,,,,,,,,
958,12970,1638,4323.33,546.00,,,,,,,,,,,,
959,43545,4511,6220.71,644.43,,,,,,,,,,,,
960,12640,1033,4213.33,344.33,,,,,,,,,,,,
961,34730,3387,4961.43,483.86,,,,,,,,,,,,
962,45686,6380,6526.57,911.43,,,,,,,,,,,,
963,60493,3620,10082.17,603.33,,,,,,,,,,,,
964,47750,8007,7958.33,1334.50,,,,,,,,,,,,
965,63721,4752,7965.13,594.00,,,,,,,,,,,,
966,9629,1831,3209.67,610.33,,,,,,,,,,,,
967,32396,3609,6479.20,721.80,,,,,,,,,,,,
968,18809,2296,3761.80,459.20,,,,,,,,,,,,
969,35907,4864,3590.70,486.40,,,,,,,,,,,,
970,16154,1326,2692.33,221.00,,,,,,,,,,,,
971,43166,5135,7194.33,855.83,,,,,,,,,,,,
972,23238,2527,2904.75,315.88,,,,,,,,,,,,
973,9594,1015,9594.00,1015.00,,,,,,,,,,,,
974,48226,6384,8037.67,1064.00,,,,,,,,,,,,
975,21495,2319,7165.00,773.00,,,,,,,,,,,,
976,18276,1796,9138.00,898.00,,,,,,,,,,,,
977,9850,1011,4925.00,505.50,,,,,,,,,,,,
978,25299,3262,4216.50,543.67,,,,,,,,,,,,
979,59962,5870,5996.20,587.00,,,,,,,,,,,,
980,13271,1121,6635.50,560.50,,,,,,,,,,,,
981,23941,2409,7980.33,803.00,,,,,,,,,,,,
982,23431,2027,4686.20,405.40,,,,,,,,,,,,
983,29806,2176,5961.20,435.20,,,,,,,,,,,,
984,18742,2220,4685.50,555.00,,,,,,,,,,,,
985,8954,1612,4477.00,806.00,,,,,,,,,,,,
986,11515,2646,1919.17,441.00,,,,,,,,,,,,
987,17985,2452,5995.00,817.33,,,,,,,,,,,,
988,9197,2278,3065.67,759.33,,,,,,,,,,,,
989,22587,2196,4517.40,439.20,,,,,,,,,,,,
990,6090,584,3045.00,292.00,,,,,,,,,,,,
991,69129,6486,5317.62,498.92,,,,,,,,,,,,
992,4881,1218,2440.50,609.00,,,,,,,,,,,,
993,20784,2196,5196.00,549.00,,,,,,,,,,,,
994,8393,774,2797.67,258.00,,,,,,,,,,,,
995,16890,1468,8445.00,734.00,,,,,,,,,,,,
996,37285,4506,4660.63,563.25,,,,,,,,,,,,
997,38143,2750,4238.11,305.56,,,,,,,,,,,,
998,13150,1590,2630.00,318.00,,,,,,,,,,,,
999,40143,3224,5734.71,460.57,,,,,,,,,,,,
1000,6956,638,6956.00,638.00,,,,,,,,,,,,
1001,15391,1954,3847.75,488.50,,,,,,,,,,,,
1002,11246,1335,2811.50,333.75,,,,,,,,,,,,
1003,31972,1729,5328.67,288.17,,,,,,,,,,,,
1004,26445,2304,4407.50,384.00,,,,,,,,,,,,
1005,54554,7861,6061.56,873.44,,,,,,,,,,,,
1006,5911,839,5911.00,839.00,,,,,,,,,,,,
1007,29762,2440,7440.50,610.00,,,,,,,,,,,,
1008,15527,2042,3105.40,408.40,,,,,,,,,,,,
1009,6983,1370,1745.75,342.50,,,,,,,,,,,,
1010,86362,5321,7851.09,483.73,,,,,,,,,,,,
1011,18815,2401,6271.67,800.33,,,,,,,,,,,,
1012,15954,1447,5318.00,482.33,,,,,,,,,,,,
1013,23986,2490,3426.57,355.71,,,,,,,,,,,,
1014,80750,9265,10093.75,1158.13,,,,,,,,,,,,
1015,33577,2343,4197.13,292.88,,,,,,,,,,,,
1016,17210,2231,2458.57,318.71,,,,,,,,,,,,
1017,57140,8000,6348.89,888.89,,,,,,,,,,,,
1018,23480,2733,5870.00,683.25,,,,,,,,,,,,
1019,9807,796,2451.75,199.00,,,,,,,,,,,,
1020,39733,4740,9933.25,1185.00,,,,,,,,,,,,
1021,41526,4189,8305.20,837.80,,,,,,,,,,,,
1022,38023,3507,5431.86,501.00,,,,,,,,,,,,
1023,41346,4569,4594.00,507.67,,,,,,,,,,,,
1024,20956,2536,3492.67,422.67,,,,,,,,,,,,
1025,6443,745,6443.00,745.00,,,,,,,,,,,,
1026,18890,1450,6296.67,483.33,,,,,,,,,,,,
1027,38361,3435,12787.00,1145.00,,,,,,,,,,,,
1028,19115,2326,2730.71,332.29,,,,,,,,,,,,
1029,7852,1005,7852.00,1005.00,,,,,,,,,,,,
1030,8693,796,2897.67,265.33,,,,,,,,,,,,
1031,29779,2608,4254.14,372.57,,,,,,,,,,,,
1032,40691,5025,5813.00,717.86,,,,,,,,,,,,
1033,52785,3715,13196.25,928.75,,,,,,,,,,,,
1034,38453,2874,7690.60,574.80,,,,,,,,,,,,
1035,31480,3812,3497.78,423.56,,,,,,,,,,,,
1036,19304,1808,3860.80,361.60,,,,,,,,,,,,
1037,11874,1458,3958.00,486.00,,,,,,,,,,,,
1038,20671,1823,3445.17,303.83,,,,,,,,,,,,
1039,25369,3080,8456.33,1026.67,,,,,,,,,,,,
1040,11893,1148,5946.50,574.00,,,,,,,,,,,,
1041,15059,1890,3764.75,472.50,,,,,,,,,,,,
1042,22234,2877,3705.67,479.50,,,,,,,,,,,,
1043,35383,8727,4422.88,1090.88,,,,,,,,,,,,
1044,18268,2511,4567.00,627.75,,,,,,,,,,,,
1045,55882,6733,9313.67,1122.17,,,,,,,,,,,,
1046,76666,4482,7666.60,448.20,,,,,,,,,,,,
1047,32888,3362,4111.00,420.25,,,,,,,,,,,,
1048,23242,1755,7747.33,585.00,,,,,,,,,,,,
1049,11664,1838,2916.00,459.50,,,,,,,,,,,,
1050,41115,3033,5873.57,433.29,,,,,,,,,,,,
1051,20092,1158,6697.33,386.00,,,,,,,,,,,,
1052,39966,4379,6661.00,729.83,,,,,,,,,,,,
1053,47207,5573,6743.86,796.14,,,,,,,,,,,,
1054,29455,4077,4909.17,679.50,,,,,,,,,,,,
1055,46414,5927,7735.67,987.83,,,,,,,,,,,,
1056,15951,1640,1993.88,205.00,,,,,,,,,,,,
1057,15722,2012,3930.50,503.00,,,,,,,,,,,,
1058,38787,3931,5541.00,561.57,,,,,,,,,,,,
1059,31785,5703,5297.50,950.50,,,,,,,,,,,,
1060,8706,913,4353.00,456.50,,,,,,,,,,,,
1061,38088,2795,5441.14,399.29,,,,,,,,,,,,
1062,5982,0,5982.00,0.00,,,,,,,,,,,,
1063,35322,4404,3532.20,440.40,,,,,,,,,,,,
1064,45144,5002,9028.80,1000.40,,,,,,,,,,,,
1065,12213,1515,3053.25,378.75,,,,,,,,,,,,
1066,30240,3030,7560.00,757.50,,,,,,,,,,,,
1067,22404,1803,7468.00,601.00,,,,,,,,,,,,
1068,15806,1039,3951.50,259.75,,,,,,,,,,,,
1069,9915,1219,2478.75,304.75,,,,,,,,,,,,
1070,28153,3436,7038.25,859.00,,,,,,,,,,,,
1071,23516,1179,4703.20,235.80,,,,,,,,,,,,
1072,36800,2437,7360.00,487.40,,,,,,,,,,,,
1073,12717,2424,3179.25,606.00,,,,,,,,,,,,
1074,10020,1191,5010.00,595.50,,,,,,,,,,,,
1075,55462,4339,11092.40,867.80,,,,,,,,,,,,
1076,20743,3301,2963.29,471.57,,,,,,,,,,,,
1077,15110,1629,5036.67,543.00,,,,,,,,,,,,
1078,14785,1870,2112.14,267.14,,,,,,,,,,,,
1079,17287,1419,4321.75,354.75,,,,,,,,,,,,
1080,42791,3464,10697.75,866.00,,,,,,,,,,,,
1081,44181,6665,7363.50,1110.83,,,,,,,,,,,,
1082,49347,6077,5483.00,675.22,,,,,,,,,,,,
1083,32283,2194,5380.50,365.67,,,,,,,,,,,,
1084,18563,3315,4640.75,828.75,,,,,,,,,,,,
1085,27555,2204,5511.00,440.80,,,,,,,,,,,,
1086,23898,2032,4779.60,406.40,,,,,,,,,,,,
1087,11355,1145,3785.00,381.67,,,,,,,,,,,,
1088,22403,2209,3733.83,368.17,,,,,,,,,,,,
1089,41110,3106,6851.67,517.67,,,,,,,,,,,,
1090,52821,6128,6602.63,766.00,,,,,,,,,,,,
1091,18921,1842,6307.00,614.00,,,,,,,,,,,,
1092,0,0,0.00,0.00,,,,,,,,,,,,
1093,23004,2037,7668.00,679.00,,,,,,,,,,,,
1094,20560,2048,3426.67,341.33,,,,,,,,,,,,
1095,14596,2864,1824.50,358.00,,,,,,,,,,,,
1096,32589,2218,4073.63,277.25,,,,,,,,,,,,
1097,18080,4845,9040.00,2422.50,,,,,,,,,,,,
1098,6974,853,6974.00,853.00,,,,,,,,,,,,
1099,45298,5640,6471.14,805.71,,,,,,,,,,,,
1100,17600,2340,5866.67,780.00,,,,,,,,,,,,
1101,24463,3632,6115.75,908.00,,,,,,,,,,,,
1102,25934,2193,6483.50,548.25,,,,,,,,,,,,
1103,19401,1916,2771.57,273.71,,,,,,,,,,,,
1104,23724,1969,4744.80,393.80,,,,,,,,,,,,
1105,20520,1912,4104.00,382.40,,,,,,,,,,,,
1106,31469,3683,4495.57,526.14,,,,,,,,,,,,
1107,11242,1255,3747.33,418.33,,,,,,,,,,,,
1108,32050,2472,5341.67,412.00,,,,,,,,,,,,
1109,16720,1450,3344.00,290.00,,,,,,,,,,,,
1110,25945,2790,4324.17,465.00,,,,,,,,,,,,
1111,10702,1034,3567.33,344.67,,,,,,,,,,,,
Grand Total,31138681,3266152,5559.49,583.14,,,,,,,,,,,,
